ID,Name,Abbreviation,Directions,
244984,Abbott Headquarters,,,
238499,Artisan Lakes Explanade,,,
228806,BatCave,,,
228807,BatCave,,,
236490,Braveminds Academy,,,
230016,Bright Futures Daycare & Preschool,,,
230017,Bright Futures Daycare & Preschool,,,
242548,Capoeira Lakewood Ranch,,,
242250,Casa Mora Rehab,,,
237092,City of Bradenton Station 1,,,
238102,City of Bradenton Station 1,,,
237247,City of Bradenton Station 2,,,
237195,City of Bradenton Station 3,,,
227157,Corona Family Dental,,,
233350,Cortez Gardens Family Dental,,,
233014,Dental Care at Gateway Commons,,,
241699,Desoto Palms,,,
232661,Destiny Dental,,,
228100,"Dr. Amy L Valenti, DMD",,,
240963,Dr. Jackson Sullivan Office,,,
238474,Dr. Roy Parker DMD,,,
238270,E&E Services Inc.,,,
239575,Feather Sound Smiles,,,
230124,Florida Urology Specialists,,,
231373,Freedom Plaza- Homewood,,,
229729,Freedom Village Bradenton,,,
238225,Freedom Village of Bradenton,,,
240769,Ginter Family Dentistry,,,
228998,Kappa Alpha Psi,,,
228999,Kappa Alpha Psi,,,
233603,Kind Smiles Dental Health,,,
227595,Lake Dental,,,
238080,Lakewood Ranch Dental,,,
239734,Lorraine Road Dental Care,,,
237117,Park Forest Condo Association,,,
240058,Price Headquarters ,,,
227220,Puppy Patch Daycare,,,
244755,SCF Lakewood Ranch,,,
237904,Silverstone,,,
239336,Smiles at Lakewood Ranch,,,
233408,SQR Endodontics,,,
245774,SuperGigi Hideout,,,
226041,SuperHeroCPR Headquarters,,,
226042,SuperHeroCPR Headquarters,,,
238190,The Center for Urgent Care,,,
227688,The Fortress of Snydertude,,,
232012,The Ranch Dental Care,,,
226409,VeriMed Zephyrhills,,,
